,title,summarylinks,name,location
0,Data Scientist,/company/GradTests/jobs/Data-Scientist-cb83495bc53e4cd0?fccid=3b57c72e54f9233d&vjs=3,GradTests (gradtests.com),"Houston, TX"
1,Data Scientist - Production Research,/rc/clk?jk=bddcb1faeb174b60&fccid=3c78581902185d47&vjs=3,"RiceTec, Inc.","Alvin, TX"
2,Data Scientist,/rc/clk?jk=920503f4cad6ef57&fccid=228c7dfd08a45e32&vjs=3,Tokio Marine HCC,"Houston, TX 77040 (Fairbanks - Northwest Crossing area)"
3,Data Scientist,/rc/clk?jk=1e8835abdc7dfc2a&fccid=b4e04bf6950ab9ef&vjs=3,Techwave Consulting Inc.,"Houston, TX 77077"
4,Software Developer Intern (Data Analytics Team) - Fall 2020,/rc/clk?jk=5087da22d7255a30&fccid=3639654bd4055c70&vjs=3,BDO,"Houston, TX 77019 (Neartown - Montrose area)"
5,Data Scientist,/rc/clk?jk=57c74ab117738d77&fccid=2fe5bdb74ccda2ee&vjs=3,CGG,"Houston, TX"
6,CCA Behavior Analyst Intern,/rc/clk?jk=5f5b8662564bcd40&fccid=8cdb12889447b05f&vjs=3,Texana Center,"Sugar Land, TX 77478"
70,Entry Level Business Analyst,/company/microsolutiontek/jobs/Entry-Level-Business-Analyst-be4a35d6387c481a?fccid=4c13fe1d1e35a416&vjs=3,Microsolutiontek,"Houston, TX"
71,XYZ Data Analyst,/rc/clk?jk=cf8e6f8761790bb2&fccid=6872a87ea33be929&vjs=3,ROSEN Group,"Houston, TX"
72,Accounts Receivable Analyst (Data Entry),/rc/clk?jk=a88e331ef3538e11&fccid=5ff5686d9ee8394e&vjs=3,Premier Medical Resources,"Houston, TX 77040"
73,"Data Analyst (LiDar, Ortho/Imagery)",/rc/clk?jk=80daae297b1daecd&fccid=95bb0e6150886869&vjs=3,GeoDigital,"Houston, TX 77032"
74,Entry Level Data Analyst for Lawyer Legion (Houston),/rc/clk?jk=a3c0a36c6551cd18&fccid=6dd2f05f986a8bc8&vjs=3,Lawyer Legion,"Houston, TX"
75,Data Analyst,/rc/clk?jk=5c0659499a37878b&fccid=1266dbfb2b33e6b5&vjs=3,HOLE Group,"Houston, TX"
76,Business Analyst,/rc/clk?jk=35dfc067f5f942da&fccid=d02377bc08d4fb7d&vjs=3,PrimeroEdge,"Houston, TX 77068"
77,Business Analyst,/rc/clk?jk=ec5a4fae5b9efff8&fccid=a00607b1b421dc66&vjs=3,Rainbow Ceramics,"Houston, TX"
78,Product and Data Analyst,/rc/clk?jk=2b8e0586abaf5e10&fccid=c8e07f37dc242ad2&vjs=3,Entera,"Houston, TX"
79,BUSINESS ANALYST,/rc/clk?jk=d311ae273639e61d&fccid=585151b4edc6dc1d&vjs=3,Sunnova Energy Corp,"Houston, TX 77046 (Montrose area)"
80,Escrow Data Analyst I,/rc/clk?jk=7ec5493f24415b60&fccid=ee2d6fb81ddfc752&vjs=3,Shellpoint Mortgage Servicing,"Houston, TX 77077 (Eldridge - West Oaks area)"
81,Business Analyst,/rc/clk?jk=3d79cf2e9e99b854&fccid=5750c331b9091775&vjs=3,Money Management International,"Sugar Land, TX 77478"
83,Data Analyst,/rc/clk?jk=09c21574e562230b&fccid=faeefeff5eaeedb2&vjs=3,Houston Exponential,"Houston, TX"
85,Management of Change Analyst,/rc/clk?jk=8ab2a9f33de3ba50&fccid=216eb700022de6f6&vjs=3,Hewlett Packard Enterprise,"Houston, TX 77070"
